SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
1743469991380;;SETTLEMENT;150.11;2026-05-08T03:33:17.000-03:00;0.00;2026-05-08T03:33:17.000-03:00;150.11;0.00;;;
158245992206;available_money;SETTLEMENT;-2500.00;2026-05-07T20:33:47.000-03:00;0.00;2026-05-07T20:33:47.000-03:00;-2500.00;0.00;;;2026-05-07T20:33:47.000-03:00
157466722895;bank_transfer;SETTLEMENT;395000.00;2026-05-07T19:42:15.000-03:00;0.00;2026-05-07T19:42:15.000-03:00;395000.00;0.00;;;2026-05-07T19:42:15.000-03:00
158143237242;available_money;SETTLEMENT;-2500.00;2026-05-07T10:37:44.000-03:00;0.00;2026-05-07T10:37:45.000-03:00;-2500.00;0.00;;;2026-05-07T10:37:45.000-03:00
1743398520813;;SETTLEMENT;163.37;2026-05-07T03:01:31.000-03:00;0.00;2026-05-07T03:01:31.000-03:00;163.37;0.00;;;
157227502157;available_money;SETTLEMENT;-6200.00;2026-05-06T12:50:51.000-03:00;0.00;2026-05-06T12:50:51.000-03:00;-6200.00;0.00;;;2026-05-06T12:50:51.000-03:00
157181994653;available_money;SETTLEMENT;-52078.00;2026-05-06T07:36:04.000-03:00;0.00;2026-05-06T07:36:04.000-03:00;-52078.00;0.00;Mercado Libre;;2026-06-03T07:36:04.000-03:00
157684495094;available_money;SETTLEMENT;-18430.74;2026-05-04T15:34:45.000-03:00;-1744.72;2026-05-06T04:09:25.000-03:00;-24045.92;-3870.46;;;2026-05-06T04:09:25.000-03:00
1743330063595;;SETTLEMENT;197.90;2026-05-06T03:37:02.000-03:00;0.00;2026-05-06T03:37:02.000-03:00;197.90;0.00;;;
157886837646;available_money;SETTLEMENT;-1750.00;2026-05-05T19:11:48.000-03:00;0.00;2026-05-05T19:11:48.000-03:00;-1750.00;0.00;;;2026-05-05T19:11:48.000-03:00
157039355531;available_money;SETTLEMENT;360000.00;2026-05-05T11:03:54.000-03:00;0.00;2026-05-05T11:03:55.000-03:00;360000.00;0.00;;;2026-05-05T11:03:55.000-03:00
1743248898160;;SETTLEMENT;27.14;2026-05-05T01:20:52.000-03:00;0.00;2026-05-05T01:20:52.000-03:00;27.14;0.00;;;
1743170634706;;SETTLEMENT;546.87;2026-05-04T01:08:23.000-03:00;0.00;2026-05-04T01:08:23.000-03:00;546.87;0.00;;;
157275380430;available_money;SETTLEMENT;-18611.57;2026-05-01T15:21:48.000-03:00;-1761.84;2026-05-02T14:22:10.000-03:00;-24281.84;-3908.43;;;2026-05-02T14:22:10.000-03:00
156602577979;available_money;SETTLEMENT;-140000.00;2026-05-02T10:42:28.000-03:00;0.00;2026-05-02T10:42:29.000-03:00;-140000.00;0.00;;;2026-05-02T10:42:29.000-03:00
156502552557;available_money;SETTLEMENT;-7000.00;2026-05-01T14:13:18.000-03:00;0.00;2026-05-01T14:13:18.000-03:00;-7000.00;0.00;;;2026-05-01T14:13:18.000-03:00
156330913981;available_money;SETTLEMENT;-4000.00;2026-04-30T12:21:35.000-03:00;0.00;2026-04-30T12:21:36.000-03:00;-4000.00;0.00;;;2026-04-30T12:21:36.000-03:00
156330303263;available_money;SETTLEMENT;-1400.00;2026-04-30T12:17:47.000-03:00;0.00;2026-04-30T12:17:48.000-03:00;-1400.00;0.00;;;2026-04-30T12:17:48.000-03:00
156771196508;available_money;SETTLEMENT;-18506.02;2026-04-28T10:23:12.000-03:00;-1541.28;2026-04-30T05:53:21.000-03:00;-23933.56;-3886.26;;;2026-04-30T05:53:21.000-03:00
1743104252398;;SETTLEMENT;129.73;2026-04-30T02:12:16.000-03:00;0.00;2026-04-30T02:12:16.000-03:00;129.73;0.00;;;
156262493041;available_money;SETTLEMENT;-5000.00;2026-04-29T23:03:32.000-03:00;0.00;2026-04-29T23:03:33.000-03:00;-5000.00;0.00;;;2026-04-29T23:03:33.000-03:00
156251637063;bank_transfer;SETTLEMENT;15000.00;2026-04-29T21:16:51.000-03:00;0.00;2026-04-29T21:16:51.000-03:00;15000.00;0.00;;;2026-04-29T21:16:51.000-03:00
1743039720175;;SETTLEMENT;285.00;2026-04-29T02:11:26.000-03:00;0.00;2026-04-29T02:11:26.000-03:00;285.00;0.00;;;
156026947381;available_money;SETTLEMENT;-29822.00;2026-04-28T12:21:41.000-03:00;0.00;2026-04-28T12:21:41.000-03:00;-29822.00;0.00;;;2026-04-28T12:21:41.000-03:00
156008046235;available_money;SETTLEMENT;-9712.00;2026-04-28T10:12:01.000-03:00;0.00;2026-04-28T10:12:02.000-03:00;-9712.00;0.00;;;2026-04-28T10:12:02.000-03:00
156007541395;available_money;SETTLEMENT;-2500.00;2026-04-28T10:08:20.000-03:00;0.00;2026-04-28T10:08:20.000-03:00;-2500.00;0.00;;;2026-04-28T10:08:20.000-03:00
1742974932660;;SETTLEMENT;319.21;2026-04-28T01:51:14.000-03:00;0.00;2026-04-28T01:51:14.000-03:00;319.21;0.00;;;
155886749093;available_money;SETTLEMENT;-4545.00;2026-04-27T12:59:14.000-03:00;0.00;2026-04-27T12:59:15.000-03:00;-4545.00;0.00;;;2026-04-27T12:59:15.000-03:00
156619560558;available_money;SETTLEMENT;-15000.00;2026-04-27T09:44:22.000-03:00;0.00;2026-04-27T09:44:22.000-03:00;-15000.00;0.00;;;2026-04-27T09:44:22.000-03:00
156613236308;available_money;SETTLEMENT;-7120.00;2026-04-27T08:44:44.000-03:00;0.00;2026-04-27T08:44:44.000-03:00;-7120.00;0.00;;;2026-04-27T08:44:44.000-03:00
1742898344899;;SETTLEMENT;146.33;2026-04-27T01:05:04.000-03:00;0.00;2026-04-27T01:05:04.000-03:00;146.33;0.00;;;
156352878110;available_money;SETTLEMENT;-18515.38;2026-04-25T07:33:08.000-03:00;-1489.12;2026-04-26T16:13:16.000-03:00;-23892.73;-3888.23;;;2026-04-26T16:13:16.000-03:00
